nom,adresse,téléphone,Accès,Site,Instagram,latitude,longitude
My Cowork,"54 rue Greneta, 75002 Paris",01 85 09 08 29,Metro Sentier (ligne 3),http://mycowork.fr/,NULL,48.8655286,2.347994
le 10h10,"210 rue Saint-Martin, 75003 Paris",01 44 49 92 59,"Metro Etienne Marcel (Ligne 4), et Rambuteau (Ligne 11)",http://www.le10h10.com/fr/coworking-cafe/,https://www.instagram.com/le10h10/,48.8635514,2.3527513
Hubsy,"41 Rue Reaumur, 75003 Paris",01 43 56 89 80,Metro Arts et Metiers (ligne 3),https://www.hubsy.fr/,https://www.instagram.com/hubsycafe/,48.8657417,2.3542425
The Office,"19 rue Claude Bernard, 75 005 Paris",06 60 77 02 41,Metro Censier Daubenton (Ligne 7) ou Port-Royal (RER B),https://www.theoffice-paris.com/,NULL,48.8391512,2.3486422
Mozaik Coworking,"41 Rue de la Chaussee dAntin, 75009 Paris",06 42 63 79 34,"Metro Chaussee dAntin la Fayette (Lignes 7 et 9), Trinite dEstienne dOrves (Ligne 12), et Haussmann Saint-Lazare (RER A, lignes 3, 9, 12, 13 et 14)",http://www.mozaik-coworking.com/,NULL,NULL,NULL
BGE PaRIF,"18 Rue du Faubourg du Temple, 75011 Paris",01 43 55 09 48,"Metro Republique (lignes 3, 5, 8, 9 et 11)",http://www.bge-parif.com/sites/bge/accueil/le-coworking.html,NULL,48.8682932,2.3661301
Cool and Workers,"30-34 rue du Chemin Vert 75011, Paris",01 80 88 48 28,Metro Voltaire (Ligne 9) et Breguet-Sabin (Ligne 5).,https://www.coolandworkers.com/,NULL,48.8583716,2.372928
Greenspace Paris,"28 rue du Chemin Vert, 75 011 Paris",01 43 38 14 51,"Metro Richard-Lenoir ou Breguet-Sabin (Ligne 5), St-Ambroise (Ligne 9) ou Chemin Vert (Ligne 8)",http://greenspace-paris.com,NULL,48.858331,2.3726604
Le Tank,"22 bis rue des Taillandiers, 75011 Paris",01 43 14 71 23,Metro Breguet-Sabin (ligne 5),https://letank.fr/,https://www.instagram.com/letankparis/,48.8551698,2.3748803
PLANET COWORKING,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Metro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,NULL,48.8617725,2.3828818
PLANET COWORKING,"119 rue du Chemin Vert, 75011 Paris",07 64 50 05 55,Metro Rue Saint-Maur (ligne 3),http://www.planet-coworking.com,NULL,48.8617725,2.3828818
Grand Tour,"30 rue des 3 Bornes, 75011 Paris",01 48 06 85 22,"Metro Parmentier ( ligne 3), Couronnes (ligne 2)",https://grandtour.paris/,NULL,NULL,NULL
La Cordee Paris Gare de Lyon,"61 rue Traversiere, 75 012 Paris",01 81 29 47 90,"Gare de Lyon (Lignes 1 et 14, RER A) et Ledru-Rollin (Ligne 8)",https://www.la-cordee.net/cordee/paris/paris-gare-de-lyon/,NULL,48.8489185,2.3744639
LYDD Consulting,51 rue Claude Decaen 75012 Paris,01 73 71 83 68,Metro Daumesnil (ligne 6 et 8),http://lyddconsulting.com/coworking/,NULL,48.8364364,2.3987197
Digital Village Paris 13,"13 rue Vandrezanne, 75 013 Paris",06 20 85 50 62,"Metros Place dItalie (lignes 5, 6, 7) et Tolbiac (ligne 7)",http://digital-village.fr/coworking/paris,https://www.instagram.com/digitalvillage.fr/,48.8279182,2.3543347
9GDM,"9 rue Guyton de Morveau, 75 013 Paris",01 84 19 50 47,NULL,https://9gdm.com,NULL,48.8246531,2.3483868
Mon premier bureau,"29 Rue Brezin, 75014 Paris",NULL,Metro Alesia (ligne 4),http://www.monpremierbureau.org/,NULL,48.8315267,2.3263714
